bidder_id,outcome,total_country,total_device,total_auction,per_auction_avg_country,per_auction_avg_device,per_auction_avg_auction,per_auction_avg_bid_,total_bid,total_merchandise,total_ip,total_url,per_auction_avg_merchandise,per_auction_avg_ip,per_auction_avg_url
ac2670de5114aa507dd07a7cd5951b99271mq,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5176d6fc2c60221f3fc7f7eca5615b2b0v3ff,NA,3,3,4,1,1,1,1,4,1,3,4,1,1,1
dfd221f21a706292c548fdbad043592afu7kf,NA,35,226,172,1.30232558139535,5.96511627906977,1,16.3546511627907,2813,1,1501,215,1,11.1744186046512,5.71511627906977
92f1c0d8618205ce2fcc04e8ca5a92c6f6a7i,NA,51,259,244,1.50819672131148,3.63934426229508,1,4.95491803278689,1209,1,988,187,1,4.70901639344262,2.43852459016393
545edc1c32563e932145d90d3dc4089eworhr,NA,7,30,9,1.11111111111111,3.55555555555556,1,3.88888888888889,35,1,32,18,1,3.55555555555556,2.44444444444444
ced3ccb89d88ac2bfd51982c485715063yvri,NA,1,1,1,1,1,1,7,7,1,6,1,1,6,1
fdd71714ea1426c36bbc80a157f50c8daex1p,NA,1,1,3,1,1,1,1.33333333333333,4,1,2,3,1,1.33333333333333,1.33333333333333
430157deb6489c9694099baaae276ac3nz3jg,NA,6,59,64,1,1.96875,1,2.515625,161,1,89,90,1,2.25,2.1875
6ad9f13f7ebdd750774a250bb3ff143fxbvrt,NA,9,64,23,1,3.8695652173913,1,4.21739130434783,97,1,84,55,1,4,3.73913043478261
98ea08ceed8cfa6c1ca4fa78dfbeb91f1ibm5,NA,29,100,102,1.16666666666667,1.76470588235294,1,2.59803921568627,265,1,217,101,1,2.3921568627451,1.59803921568627
4e15ce4862b8e6e0de6ef62353b6f6ca3y1u5,NA,1,11,14,1,3.07142857142857,1,12.1428571428571,170,1,65,1,1,7.35714285714286,1
019cf2d366df756c092c91e26f406acdozha7,NA,7,55,69,1.01449275362319,1.94202898550725,1,3.04347826086957,210,1,76,16,1,2.73913043478261,1.42028985507246
e903f127e00c301a8e02f29aa6e06a0c0hb60,NA,16,74,76,1.07894736842105,1.82894736842105,1,2.11842105263158,161,1,129,78,1,1.97368421052632,1.92105263157895
ba7433b0aa491ed3c0ae963ab4827e2dcufjy,NA,1,2,2,1,1.5,1,206,412,1,14,4,1,7.5,2.5
6b394f2f5ab5efb0fffa5a9179c73db9qb4oh,NA,3,3,1,3,3,1,3,3,1,3,1,1,3,1
f54258c2e26abb410bf4733f7fde4671jf5a0,NA,26,397,179,1.07821229050279,6.0391061452514,1,17.1899441340782,3077,1,892,1311,1,6.43016759776536,8.15642458100559
6f16558061afee75be4ca0b248da32aet3v9k,NA,3,6,2,1.5,3,1,4.5,9,1,9,4,1,4.5,2
962f639fca6175c0be5b17692a7c56834vqhq,NA,3,12,22,1,1.09090909090909,1,1.13636363636364,25,1,18,24,1,1.04545454545455,1.13636363636364
a262e805f766306f4adb38211abf235akxqh8,0,9,22,5,2.4,4.8,1,5,25,1,25,18,1,5,3.8
e1972d63b9881f67b4a9dfb79f467ddduhmrd,NA,28,102,45,1.35555555555556,3.13333333333333,1,4.35555555555556,196,1,187,15,1,4.28888888888889,1.4
6a877438a5c9d4a97b376893331e4277mehj6,NA,3,5,4,1.25,1.25,1,1.25,5,1,5,2,1,1.25,1
438e53670ffa2990cdef656700bb49bf684fz,0,2,14,15,1,1.26666666666667,1,1.8,27,1,25,25,1,1.66666666666667,1.73333333333333
8fe6da2176541d0ce24574dbb60f9107oq1kn,0,20,71,41,1.31707317073171,2.58536585365854,1,4.04878048780488,166,1,151,44,1,3.78048780487805,2.04878048780488
0165dcd38f54e83aafb7bb3d95cd9369800km,NA,1,4,5,1,1,1,1.2,6,1,2,2,1,1.2,1
9fb9d7c6a88b1e4793f58ba29d3f8ad4vfu3l,NA,58,520,798,1.03007518796992,3.78070175438596,1,5.41102756892231,4318,1,2854,21,1,4.56766917293233,1.08020050125313
d61ad0b43989c44de8fb09d48d7c4237qki85,NA,3,2,4,1,1,1,1,4,1,4,2,1,1,1
03a5ac97839b407f5637ce534a0de583ygwx8,NA,1,3,3,1,1,1,1.33333333333333,4,1,3,2,1,1,1
9375e98d0810ce9119ccf45300249636zfpd9,0,3,3,5,1,1,1,1,5,1,3,5,1,1,1
8a2b6cf3cd7a49bb32691e3d45fc60d4nv2w1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a69e11a0c2723bf92ccaef450934063fhrrmw,NA,3,11,11,1,1.18181818181818,1,1.18181818181818,13,1,13,10,1,1.18181818181818,1.18181818181818
0b9d45948078268c6394a9c51bf2db08cbijp,NA,7,19,20,1,1.2,1,1.25,25,1,20,3,1,1.15,1.15
2d38a6af2ce96c1446f900aa4756b8975y9k3,0,19,499,375,1.01066666666667,3.69333333333333,1,3.88533333333333,1457,1,1433,50,1,3.87466666666667,3.336
c7d335bf99b9c71fb22797ecbd78b92ashv4h,0,39,109,101,1.1980198019802,1.73267326732673,1,2.11881188118812,214,1,177,102,1,1.95049504950495,1.83168316831683
b341f7a10217a7871161e154ff56b1aa0nig8,NA,59,221,211,1.260663507109,2.72037914691943,1,3.30805687203791,698,1,482,22,1,2.83886255924171,1.36018957345972
6086425310e05e77a53317490e8c1f3cxzf2r,0,16,146,19,1.68421052631579,13.8421052631579,1,19.6315789473684,373,1,156,167,1,11.8421052631579,11.4736842105263
fee9106e2b7f1165983bdacbc1706bf02mt5t,NA,10,81,91,1.06593406593407,2.48351648351648,1,3.08791208791209,281,1,180,96,1,2.61538461538462,2.18681318681319
20f9237a138504dff1b64bff173cf000xxtjn,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48044b1b1f47f168864bc7c4a58a65ecmt187,0,3,14,15,1,1.13333333333333,1,1.26666666666667,19,1,15,6,1,1.13333333333333,1.13333333333333
38c2be4dfa8f0512b3164fbbf6ffb1f6weo0v,NA,2,3,3,1,1,1,1,3,1,3,3,1,1,1
8bbb16c0a1bb808389051c875ebab1cea0v56,0,4,23,21,1.14285714285714,1.71428571428571,1,1.80952380952381,38,1,36,27,1,1.80952380952381,1.71428571428571
f8e23b1c6a528b4d889fe1b1a8e25117kqs05,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
797afad89626aaf41b0230d1c4cc4406dct47,NA,2,3,3,1,1,1,1,3,1,3,2,1,1,1
c806dbb2decba0ed3c4ff5e2e60a74c2wjvbl,0,1,2,1,1,2,1,2,2,1,2,1,1,2,1
cad151bdf2e29b764dfd3acac022e5dcy8n83,0,2,1,4,1,1,1,1.25,5,1,2,5,1,1,1.25
246c55639cf85c682d58cbd2ed6a6563vk2yn,0,49,222,192,1.15625,3.66145833333333,1,5.421875,1041,1,790,61,1,4.875,2.66666666666667
d336c93eb23bf34c63b137398ce17a93tg5wm,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
f6846af6c9bec2b5a13f9445b094cfa8jxhrf,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
205c519be884c5b1c885f61c4ba8738a737qg,0,9,15,42,1,2.61904761904762,1,6.78571428571429,285,1,87,2,1,4.73809523809524,1.02380952380952
4b9260b578bac8d676cb8d1d7b90c553zgisk,NA,4,5,4,1,1.25,1,1.25,5,1,5,5,1,1.25,1.25
a3b15f75afb6897f8b6314ef00ef6134dsipq,NA,14,32,24,1,1.58333333333333,1,1.625,39,1,35,32,1,1.5,1.54166666666667
01cda526658455000913950f20cf31a2q6nsf,0,6,45,22,1,3.31818181818182,1,3.81818181818182,84,1,57,33,1,3.09090909090909,2.54545454545455
3939ac3ef7d472a59a9c5f893dd3e39fh9ofi,NA,65,505,188,1.34042553191489,8.14893617021277,1,58.2765957446809,10956,1,6296,2479,1,37.5585106382979,23.4893617021277
afbabf2226dbe8c607ab0ba2af346de3pwnog,NA,3,26,37,1.02702702702703,2.13513513513514,1,2.83783783783784,105,1,67,16,1,2.59459459459459,1.86486486486486
e9eae11639f846891046ede5ec9e459cypfx4,NA,3,3,3,1,1,1,1,3,1,3,3,1,1,1
ceb6c86354e97d4d849ef5b1364bb0964nxe3,NA,15,121,53,1.24528301886792,4.35849056603774,1,15.2452830188679,808,1,579,266,1,11.9622641509434,6.86792452830189
5de70630d6f09675938f40464f7a9a8757lae,NA,2,47,60,1.01666666666667,3.03333333333333,1,4.65,279,1,66,35,1,4,1.7
13782c8ade06f1a4582af4835560c4e43e3x9,NA,6,11,12,1,1.33333333333333,1,1.33333333333333,16,1,10,11,1,1.08333333333333,1.08333333333333
e10a19da6f6f510228031658e5f075e35pgjx,NA,8,172,84,1.13095238095238,7.54761904761905,1,13.452380952381,1130,1,502,89,1,11.2142857142857,3.5
0ef9be4eb3b6a03ac2945522964b242ap09cy,0,6,37,38,1.18421052631579,1.47368421052632,1,1.55263157894737,59,1,50,38,1,1.52631578947368,1.44736842105263
aaa1b3ed5c73735ed306079b5a481178pmosh,NA,2,61,20,1,6.4,1,25.95,519,1,336,6,1,17.85,1.6
e35fe0869a5adf75a7604e181d3093575240t,NA,5,3,15,1.33333333333333,1,1,5.53333333333333,83,1,5,2,1,1.33333333333333,1
1cf0d30e0bf9f4a536b1fe16ecc26cd22j50c,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5af68eabf1ad92562c1cca4df994373cq0dwj,NA,86,380,346,1.29768786127168,4.76300578034682,1,7.99421965317919,2766,1,2125,47,1,6.91040462427746,1.84104046242775
41736b17949c37a00a1173180597ac62d8i3a,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
d12e84ae74ed7871fc05246b83d834602obih,NA,1,4,3,1,1.33333333333333,1,1.33333333333333,4,1,2,4,1,1.33333333333333,1.33333333333333
1291b98e40353f77928e363d54a13c569bhfb,0,2,3,3,1,1,1,1,3,1,3,2,1,1,1
711d318555d65fdcb876fd171ea92eccggaco,NA,14,49,28,1.32142857142857,2.39285714285714,1,2.89285714285714,81,1,64,46,1,2.67857142857143,2.32142857142857
9f52fd88ba073512be19e3d24d4bb6f91l531,0,19,74,25,1.4,3.76,1,5.72,143,1,131,49,1,5.24,2.72
ecb413b43fe4937e0d8ff1d43e1b077e098kj,NA,50,382,272,1.19852941176471,3.86764705882353,1,5.99632352941176,1631,1,1215,974,1,5.14705882352941,4.69485294117647
cf1f2b6f29840e1ecbb31d18fb128c38bseas,0,1,1,6,1,1,1,32.6666666666667,196,1,1,2,1,1,1.33333333333333
20f206d2656116bed8dd46d5b70dac81lbgfk,0,1,4,3,1,1.33333333333333,1,1.33333333333333,4,1,4,3,1,1.33333333333333,1.33333333333333
1baf2c116843e3984db89509d8f4469fyn3tj,NA,26,47,53,1.13207547169811,1.37735849056604,1,1.47169811320755,78,1,70,38,1,1.41509433962264,1.35849056603774
797fec2fdeea8bc90a1ef96768ef0f9962xhq,NA,6,8,10,1,1,1,1,10,1,9,3,1,1,1
992737f67ac0150c8e1448bdc06e3d2f6f57s,NA,1,2,2,1,1,1,1,2,1,2,2,1,1,1
06a984e49706c47d079c33a6e038ee9a3moip,NA,2,4,3,1.33333333333333,1.33333333333333,1,1.33333333333333,4,1,4,2,1,1.33333333333333,1.33333333333333
47feca42fbe0a24fe49983be12981290yih00,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
759b348d21e1f20ce55471813acba5ebm43ch,NA,141,1820,1726,1.93047508690614,14.0567786790267,1,50.6512166859791,87424,1,20569,21682,1,22.3001158748552,20.7224797219003
6c2cb78f8a943d945bbdd5ec7db68ff3wdxi4,NA,18,4,41,1,1.24390243902439,1,2.19512195121951,90,1,83,2,1,2.1219512195122,1.02439024390244
a58ace8b671a7531c88814bc86b2a34cf0crb,0,76,2020,748,1.34090909090909,44.7352941176471,1,257.439839572193,192565,1,53405,36518,1,107.441176470588,81.1737967914438
dcd008d7d5b4e0fcfee321b0a2b2e427zcsf7,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
424b638423f4862b2a84f22ec25fa22eb2c8p,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7da6a36817cf2d8c3be218a32ab25550c8kg7,0,1,14,4,1,3.5,1,5.75,23,1,20,3,1,5,1.5
2a5704b6e2d06087e5328bdb5d4c6c20qogf3,NA,3,9,10,1,1,1,1,10,1,9,7,1,1,1
a0420d3961adf890fccf4b43899708f6h40zs,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00862324eb508ca5202b6d4e5f1a80fc3t3lp,NA,1,1,1,1,1,1,5,5,1,1,1,1,1,1
2de4afad4eafa03c1a4c2707f4292f32gh7ou,NA,2,7,9,1,1.11111111111111,1,1.22222222222222,11,1,8,9,1,1.11111111111111,1.22222222222222
278f0a7186b44eea114552927d0c4787x6osq,NA,1,1,13,1,1,1,4.84615384615385,63,1,1,1,1,1,1
eaf0ed0afc9689779417274b4791726cn5udi,NA,14,81,90,1,1.5,1,1.64444444444444,148,1,129,80,1,1.53333333333333,1.3
afb7618f9e3fd071d4ebedf396e1d45drta96,0,5,55,76,1,1.32894736842105,1,1.42105263157895,108,1,57,46,1,1.30263157894737,1.31578947368421
2d0a9918ff77da3fb3223b1e6d33bfb7mdjs0,NA,5,13,16,1,1,1,1.375,22,1,18,5,1,1.1875,1.0625
429f301119adc32d35541dd4d60903563s7nr,0,6,47,31,1,2.25806451612903,1,2.38709677419355,74,1,58,57,1,2.16129032258065,2.2258064516129
1ab1c5a761b0d8774ddf0c600714dfe6yzrgj,NA,6,5,6,1,1,1,1,6,1,6,4,1,1,1
64a39f766b2e9d9471b104f0d0289740a9kdq,0,2,2,2,1,1,1,1,2,1,2,1,1,1,1
d4ab22e56999e0d580097485cc9b894dws6q8,NA,3,8,5,1.2,2.2,1,2.4,12,1,12,11,1,2.4,2.4
e9606f1d415c1c4c841e7ca3a3d39371ty2ry,NA,48,144,87,1.51724137931034,2.51724137931034,1,3.91954022988506,341,1,259,65,1,3.3448275862069,1.70114942528736
2012c722a90bc47f1abbc8319d0cea51p7l5b,0,1,2,1,1,2,1,2,2,1,2,2,1,2,2
22d4d89001b20136b171e21bf2330836tnxui,NA,3,4,4,1,1,1,1,4,1,4,4,1,1,1
7ae7e9889c1ed7fbff07dc1b26148e9ak7eo2,NA,7,8,7,1.57142857142857,1.42857142857143,1,1.71428571428571,12,1,10,5,1,1.71428571428571,1.57142857142857
a88ede77f6207f7eda73d31b7d5041ecxuphu,NA,2,2,1,2,2,1,3,3,1,2,2,1,2,2
4a41c9c9a98852a083f16eb7db0f5a32kxns9,NA,3,4,6,1,1.33333333333333,1,1.5,9,1,7,1,1,1.33333333333333,1
47b5a29dc17b7ce031f37b279b4611f507xj4,NA,43,141,77,1.33766233766234,2.71428571428571,1,5.57142857142857,429,1,358,170,1,4.85714285714286,2.94805194805195
4038ae3276c0b47f420a5d73687fb73bghgxf,0,12,61,101,1.00990099009901,1.61386138613861,1,1.86138613861386,188,1,150,140,1,1.77227722772277,1.81188118811881
05bd6eb40889047958e8b96332cc1975vib58,NA,7,40,22,1,2.22727272727273,1,2.36363636363636,52,1,43,44,1,2.18181818181818,2.22727272727273
292dedb5371b8e0ebbeea57f14b35713e2ie2,0,2,3,1,2,3,1,3,3,1,3,3,1,3,3
3e1a11895d88b8c7ae599fbee731bfa06evvr,NA,1,1,1,1,1,1,3,3,1,1,2,1,1,2
6456f47568ffea72878ee3d3a45cbc4aj4t28,NA,67,310,1040,1.03269230769231,10.4913461538462,1,38.225,39754,1,20852,225,1,25.6221153846154,1.25
d8c8985b4e82f78cd641f3c224583a31i3w6e,NA,37,164,152,1.15131578947368,2.11184210526316,1,2.48026315789474,377,1,314,15,1,2.28947368421053,1.44078947368421
10f1460119f9e42bcccd0f68ef59cc830pwtq,0,13,24,33,1.03030303030303,1.06060606060606,1,1.21212121212121,40,1,31,16,1,1.06060606060606,1.12121212121212
db70b9e44216ab17f78e88970a670501xrhtm,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6aeab198df208f8628825f7eb3ec3701p2ybk,0,25,90,55,1.21818181818182,2.25454545454545,1,2.94545454545455,162,1,149,70,1,2.89090909090909,2
ca978bd41bf5773bd05ef4d12ee0824dtierj,NA,6,8,4,1.75,2.5,1,3.25,13,1,11,8,1,2.75,2.5
9ee5ff6c842f7f15b585387a2cfab030fisgm,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38f6a407defcefd0d238489a7d1fe2215121v,NA,8,94,93,1,2.05376344086022,1,2.55913978494624,238,1,149,54,1,2.40860215053763,1.87096774193548
86a626c876e7eb4be35f4f0b0a78f97a1rn7h,0,3,11,9,1,1.22222222222222,1,1.33333333333333,12,1,12,9,1,1.33333333333333,1.33333333333333
055282b75717345ba6f53d40e9e6d6c56qrzp,0,129,920,346,1.51156069364162,9.98843930635838,1,37.9566473988439,13133,1,7486,5658,1,23.3699421965318,18.3410404624277
322adfeee757e453005d32502e0ef4b2ubcpn,NA,1,2,1,1,2,1,2,2,1,2,2,1,2,2
f211ff014ed43c9054916f97d6187108mpxr6,0,73,427,381,1.28608923884514,7.3753280839895,1,18.4776902887139,7040,1,4293,1931,1,14.1496062992126,11.4225721784777
33046cce44eee804a15c36ed850b8b3bn9cj0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1c61726e316d5a16aaa80b429080c534u43s0,0,2,3,2,1,1.5,1,1.5,3,1,3,3,1,1.5,1.5
0f766712728ea57f1556517aee3dc913ystk3,NA,5,2,8,1.375,1.125,1,1.625,13,1,13,4,1,1.625,1.375
8aa03b16fca81881d63c489b6d887ffax0vxm,NA,2,2,3,1.33333333333333,1.33333333333333,1,1.66666666666667,5,1,5,2,1,1.66666666666667,1.33333333333333
042d1cd843d886c1bd8968e18bfa1b5b8t55o,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36473d4c641c4c09c20c80e2ab35a36dwzp5d,0,1,5,5,1,1.2,1,1.2,6,1,6,3,1,1.2,1
7f603f668968facebb0567015ad4c201kikrh,0,2,4,4,1,1,1,1,4,1,4,3,1,1,1
96fba786fe044b1267634e34ebedf1deqb86b,NA,1,10,8,1,1.375,1,1.5,12,1,12,7,1,1.5,1.375
39b356af16bf8ad658fe81d52674c7d6mlio5,NA,32,486,276,1.08695652173913,18.2355072463768,1,60.9601449275362,16825,1,11169,3264,1,51.804347826087,26.5326086956522
56b55e6ab49a4cbe7c76a2bbca804089pjq0g,0,60,289,304,1.12171052631579,2.58881578947368,1,3.13486842105263,953,1,727,537,1,2.84210526315789,2.81907894736842
cff378cd8d82d967703438942100822chuai3,NA,17,52,59,1,1.57627118644068,1,1.8135593220339,107,1,88,27,1,1.64406779661017,1.42372881355932
6f7043cde57060a6766b551df5fa6fd9p3ojp,0,6,12,13,1,1,1,1,13,1,13,7,1,1,1
ba3070025ca7622e20e71feddd2a94710vlpx,NA,1,1,3,1,1,1,1,3,1,1,1,1,1,1
7959bd565852dd880cd31278fab3660fuaqyw,0,2,46,13,1,6.84615384615385,1,8.15384615384615,106,1,43,45,1,4.61538461538461,4.84615384615385
e07cff3db7bed6f7a517a49f20d472a2zkvj0,NA,14,190,185,1.02162162162162,4.56756756756757,1,7.71351351351351,1427,1,988,315,1,6.97837837837838,5.39459459459459
e92adf6c317587c5c6317b1d29a1a3b54o7gq,NA,7,12,14,1,1.21428571428571,1,1.28571428571429,18,1,15,14,1,1.21428571428571,1.21428571428571
1bcab4a0d8067620f09b54cb9e4633b220xyr,NA,3,3,3,1,1,1,1,3,1,3,3,1,1,1
97cfd4d2998f6063f2f42d164d05ac3dlfse6,NA,3,3,3,1,1,1,1,3,1,3,3,1,1,1
3b9143977c1b2bc4b302a24d926dda47nf4aw,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
